medal_type,name,gender,country_code,country,nationality_code,nationality,event,birth_date
Bronze Medal,JEFFERSON Melissa,Female,USA,United States,USA,United States,Women's 100m,2001-02-21
Gold Medal,LAFOND Thea,Female,DMA,Dominica,DMA,Dominica,Women's Triple Jump,1994-04-05
Silver Medal,RICKETTS Shanieka,Female,JAM,Jamaica,JAM,Jamaica,Women's Triple Jump,1992-02-02
Bronze Medal,MOORE Jasmine,Female,USA,United States,USA,United States,Women's Triple Jump,2001-05-01
Bronze Medal,WU Shih Yi,Female,TPE,Chinese Taipei,TPE,Chinese Taipei,Women's 60kg,1998-04-27
Bronze Medal,SOARES FERREIRA Beatriz Iasmin,Female,BRA,Brazil,BRA,Brazil,Women's 60kg,1992-12-09
Gold Medal,EVENEPOEL Remco,Male,BEL,Belgium,BEL,Belgium,Men's Road Race,2000-01-25
Silver Medal,MADOUAS Valentin,Male,FRA,France,FRA,France,Men's Road Race,1996-07-12
Bronze Medal,LAPORTE Christophe,Male,FRA,France,FRA,France,Men's Road Race,1992-12-11
Gold Medal,ZEIDLER Oliver,Male,GER,Germany,GER,Germany,Men's Single Sculls,1996-07-24
Silver Medal,ZALATY Yauheni,Male,AIN,AIN,BLR,Belarus,Men's Single Sculls,1999-09-09
Bronze Medal,van DORP Simon,Male,NED,Netherlands,NED,Netherlands,Men's Single Sculls,1997-04-10
Gold Medal,FLORIJN Karolien,Female,NED,Netherlands,NED,Netherlands,Women's Single Sculls,1998-04-06
Silver Medal,TWIGG Emma,Female,NZL,New Zealand,NZL,New Zealand,Women's Single Sculls,1987-03-01
Bronze Medal,SENKUTE Viktorija,Female,LTU,Lithuania,LTU,Lithuania,Women's Single Sculls,1996-04-12
Gold Medal,REUVENY Tom,Male,ISR,Israel,ISR,Israel,Men's Windsurfing,2000-06-12
Silver Medal,MORRIS Grae,Male,AUS,Australia,AUS,Australia,Men's Windsurfing,2003-10-16
Bronze Medal,van OPZEELAND Luuc,Male,NED,Netherlands,NED,Netherlands,Men's Windsurfing,1999-05-21
Gold Medal,MAGGETTI Marta,Female,ITA,Italy,ITA,Italy,Women's Windsurfing,1996-01-10
Silver Medal,KANTOR Sharon,Female,ISR,Israel,ISR,Israel,Women's Windsurfing,2003-01-28
Bronze Medal,WILSON Emma,Female,GBR,Great Britain,GBR,Great Britain,Women's Windsurfing,1999-04-07
Gold Medal,YANG Jiin,Female,KOR,Korea,KOR,Korea,25m Pistol Women,2003-05-20
Silver Medal,JEDRZEJEWSKI Camille,Female,FRA,France,FRA,France,25m Pistol Women,2002-04-25
Bronze Medal,MAJOR Veronika,Female,HUN,Hungary,HUN,Hungary,25m Pistol Women,1997-03-19
Gold Medal,HANCOCK Vincent,Male,USA,United States,USA,United States,Skeet Men,1989-03-19
Silver Medal,PRINCE Conner Lynn,Male,USA,United States,USA,United States,Skeet Men,2000-03-28
Bronze Medal,LEE Meng Yuan,Male,TPE,Chinese Taipei,TPE,Chinese Taipei,Skeet Men,1994-08-25
Gold Medal,MILAK Kristof,Male,HUN,Hungary,HUN,Hungary,Men's 100m Butterfly,2000-02-20
Silver Medal,LIENDO Josh,Male,CAN,Canada,CAN,Canada,Men's 100m Butterfly,2002-08-20
Bronze Medal,KHARUN Ilya,Male,CAN,Canada,CAN,Canada,Men's 100m Butterfly,2005-02-07
Gold Medal,McINTOSH Summer,Female,CAN,Canada,CAN,Canada,Women's 200m Individual Medley,2006-08-18
Silver Medal,DOUGLASS Kate,Female,USA,United States,USA,United States,Women's 200m Individual Medley,2001-11-17
Bronze Medal,McKEOWN Kaylee,Female,AUS,Australia,AUS,Australia,Women's 200m Individual Medley,2001-07-12
Gold Medal,LEDECKY Katie,Female,USA,United States,USA,United States,Women's 800m Freestyle,1997-03-17
Silver Medal,TITMUS Ariarne,Female,AUS,Australia,AUS,Australia,Women's 800m Freestyle,2000-09-07
Bronze Medal,MADDEN Paige,Female,USA,United States,USA,United States,Women's 800m Freestyle,1998-10-22
Gold Medal,CHEN Meng,Female,CHN,China,CHN,China,Women's Singles,1994-01-15
Silver Medal,SUN Yingsha,Female,CHN,China,CHN,China,Women's Singles,2000-11-04
Bronze Medal,HAYATA Hina,Female,JPN,Japan,JPN,Japan,Women's Singles,2000-07-07
Bronze Medal,MUSETTI Lorenzo,Male,ITA,Italy,ITA,Italy,Men's Singles,2002-03-03
Gold Medal,ZHENG Qinwen,Female,CHN,China,CHN,China,Women's Singles,2002-10-08
Silver Medal,VEKIC Donna,Female,CRO,Croatia,CRO,Croatia,Women's Singles,1996-06-28
Gold Medal,KIM Woojin,Male,KOR,Korea,KOR,Korea,Men's Individual,1992-06-20
Silver Medal,ELLISON Brady,Male,USA,United States,USA,United States,Men's Individual,1988-10-27
Bronze Medal,LEE Wooseok,Male,KOR,Korea,KOR,Korea,Men's Individual,1997-08-07
Gold Medal,LIU Yang,Male,CHN,China,CHN,China,Men's Rings,1994-08-11
Silver Medal,ZOU Jingyuan,Male,CHN,China,CHN,China,Men's Rings,1998-01-03
Bronze Medal,PETROUNIAS Eleftherios,Male,GRE,Greece,GRE,Greece,Men's Rings,1990-11-30
Gold Medal,YULO Carlos Edriel,Male,PHI,Philippines,PHI,Philippines,Men's Vault,2000-02-16
Silver Medal,DAVTYAN Artur,Male,ARM,Armenia,ARM,Armenia,Men's Vault,1992-08-08
Bronze Medal,HEPWORTH Harry,Male,GBR,Great Britain,GBR,Great Britain,Men's Vault,2003-12-06
Gold Medal,NEMOUR Kaylia,Female,ALG,Algeria,ALG,Algeria,Women's Uneven Bars,2006-12-30
Silver Medal,QIU Qiyuan,Female,CHN,China,CHN,China,Women's Uneven Bars,2007-05-24
Bronze Medal,LEE Sunisa,Female,USA,United States,USA,United States,Women's Uneven Bars,2003-03-09
Gold Medal,LYLES Noah,Male,USA,United States,USA,United States,Men's 100m,1997-07-18
Silver Medal,THOMPSON Kishane,Male,JAM,Jamaica,JAM,Jamaica,Men's 100m,2001-07-17
Bronze Medal,KERLEY Fred,Male,USA,United States,USA,United States,Men's 100m,1995-05-07
Gold Medal,KATZBERG Ethan,Male,CAN,Canada,CAN,Canada,Men's Hammer Throw,2002-04-05
Silver Medal,HALASZ Bence,Male,HUN,Hungary,HUN,Hungary,Men's Hammer Throw,1997-08-04
Bronze Medal,KOKHAN Mykhaylo,Male,UKR,Ukraine,UKR,Ukraine,Men's Hammer Throw,2001-01-22
Gold Medal,MAHUCHIKH Yaroslava,Female,UKR,Ukraine,UKR,Ukraine,Women's High Jump,2001-09-19
Silver Medal,OLYSLAGERS Nicola,Female,AUS,Australia,AUS,Australia,Women's High Jump,1996-12-28
Bronze Medal,GERASHCHENKO Iryna,Female,UKR,Ukraine,UKR,Ukraine,Women's High Jump,1995-03-10
Bronze Medal,PATTERSON Eleanor,Female,AUS,Australia,AUS,Australia,Women's High Jump,1996-05-22
Bronze Medal,TUNJUNG Gregoria Mariska,Female,INA,Indonesia,INA,Indonesia,Women's Singles,1999-08-11
Bronze Medal,ALCANTARA REYES Yunior,Male,DOM,Dominican Republic,DOM,Dominican Republic,Men's 51kg,2004-02-10
Bronze Medal,de PINA David,Male,CPV,Cabo Verde,CPV,Cabo Verde,Men's 51kg,1996-08-07
Bronze Medal,SANFORD Wyatt,Male,CAN,Canada,CAN,Canada,Men's 63.5kg,1998-11-03
Bronze Medal,GURULI Lasha,Male,GEO,Georgia,GEO,Georgia,Men's 63.5kg,1996-08-27
Bronze Medal,PINALES Cristian Javier,Male,DOM,Dominican Republic,DOM,Dominican Republic,Men's 80kg,2000-11-02
Bronze Medal,LOPEZ CARDONA Arlen,Male,CUB,Cuba,CUB,Cuba,Men's 80kg,1993-02-21
Bronze Medal,REYES PLA Enmanuel,Male,ESP,Spain,ESP,Spain,Men's 92kg,1992-12-14
Bronze Medal,BOLTAEV Davlat,Male,TJK,Tajikistan,TJK,Tajikistan,Men's 92kg,1999-01-13
Bronze Medal,PANG Cholmi,Female,PRK,DPR Korea,PRK,DPR Korea,Women's 54kg,1994-08-26
Bronze Medal,IM Aeji,Female,KOR,Korea,KOR,Korea,Women's 54kg,1999-05-11
Gold Medal,FAULKNER Kristen,Female,USA,United States,USA,United States,Women's Road Race,1992-12-18
Silver Medal,VOS Marianne,Female,NED,Netherlands,NED,Netherlands,Women's Road Race,1987-05-13
Bronze Medal,KOPECKY Lotte,Female,BEL,Belgium,BEL,Belgium,Women's Road Race,1995-11-10
Gold Medal,von BREDOW-WERNDL Jessica,Female,GER,Germany,GER,Germany,Dressage Individual,1986-02-16
Silver Medal,WERTH Isabell,Female,GER,Germany,GER,Germany,Dressage Individual,1969-07-21
Bronze Medal,FRY Charlotte,Female,GBR,Great Britain,GBR,Great Britain,Dressage Individual,1996-02-11
Gold Medal,SCHEFFLER Scottie,Male,USA,United States,USA,United States,Men's Individual Stroke Play,1996-06-21
Silver Medal,FLEETWOOD Tommy,Male,GBR,Great Britain,GBR,Great Britain,Men's Individual Stroke Play,1991-01-19
Bronze Medal,MATSUYAMA Hideki,Male,JPN,Japan,JPN,Japan,Men's Individual Stroke Play,1992-02-25
Gold Medal,CROVETTO CHADID Francisca,Female,CHI,Chile,CHI,Chile,Skeet Women,1990-04-27
Silver Medal,RUTTER Amber Jo,Female,GBR,Great Britain,GBR,Great Britain,Skeet Women,1997-08-21
Bronze Medal,SMITH Austen Jewell,Female,USA,United States,USA,United States,Skeet Women,2001-07-23
Gold Medal,FINKE Bobby,Male,USA,United States,USA,United States,Men's 1500m Freestyle,1999-11-06
Silver Medal,PALTRINIERI Gregorio,Male,ITA,Italy,ITA,Italy,Men's 1500m Freestyle,1994-09-05
Bronze Medal,WIFFEN Daniel,Male,IRL,Ireland,IRL,Ireland,Men's 1500m Freestyle,2001-07-14
Gold Medal,SJOESTROEM Sarah,Female,SWE,Sweden,SWE,Sweden,Women's 50m Freestyle,1993-08-17
Silver Medal,HARRIS Meg,Female,AUS,Australia,AUS,Australia,Women's 50m Freestyle,2002-03-07
Bronze Medal,ZHANG Yufei,Female,CHN,China,CHN,China,Women's 50m Freestyle,1998-04-19
Gold Medal,FAN Zhendong,Male,CHN,China,CHN,China,Men's Singles,1997-01-22
Silver Medal,MOREGARD Truls,Male,SWE,Sweden,SWE,Sweden,Men's Singles,2002-02-16
Bronze Medal,LEBRUN Felix,Male,FRA,France,FRA,France,Men's Singles,2006-09-12
Gold Medal,DJOKOVIC Novak,Male,SRB,Serbia,SRB,Serbia,Men's Singles,1987-05-22
Silver Medal,ALCARAZ Carlos,Male,ESP,Spain,ESP,Spain,Men's Singles,2003-05-05
Gold Medal,OKA Shinnosuke,Male,JPN,Japan,JPN,Japan,Men's Horizontal Bar,2003-10-31
Silver Medal,BARAJAS Angel,Male,COL,Colombia,COL,Colombia,Men's Horizontal Bar,2006-08-12
Bronze Medal,ZHANG Boheng,Male,CHN,China,CHN,China,Men's Horizontal Bar,2000-03-04
Bronze Medal,TANG Chia-Hung,Male,TPE,Chinese Taipei,TPE,Chinese Taipei,Men's Horizontal Bar,1996-09-23
Gold Medal,ZOU Jingyuan,Male,CHN,China,CHN,China,Men's Parallel Bars,1998-01-03
Silver Medal,KOVTUN Illia,Male,UKR,Ukraine,UKR,Ukraine,Men's Parallel Bars,2003-08-10
Bronze Medal,OKA Shinnosuke,Male,JPN,Japan,JPN,Japan,Men's Parallel Bars,2003-10-31
Gold Medal,D'AMATO Alice,Female,ITA,Italy,ITA,Italy,Women's Balance Beam,2003-02-07
Silver Medal,ZHOU Yaqin,Female,CHN,China,CHN,China,Women's Balance Beam,2005-11-12
Bronze Medal,ESPOSITO Manila,Female,ITA,Italy,ITA,Italy,Women's Balance Beam,2006-11-02
Gold Medal,ANDRADE Rebeca,Female,BRA,Brazil,BRA,Brazil,Women's Floor Exercise,1999-05-08
Silver Medal,BILES Simone,Female,USA,United States,USA,United States,Women's Floor Exercise,1997-03-14
Bronze Medal,BARBOSU Ana,Female,ROU,Romania,ROU,Romania,Women's Floor Exercise,2006-07-26
Gold Medal,DUPLANTIS Armand,Male,SWE,Sweden,SWE,Sweden,Men's Pole Vault,1999-11-10
Silver Medal,KENDRICKS Sam,Male,USA,United States,USA,United States,Men's Pole Vault,1992-09-07
Bronze Medal,KARALIS Emmanouil,Male,GRE,Greece,GRE,Greece,Men's Pole Vault,1999-10-20
Gold Medal,CHEBET Beatrice,Female,KEN,Kenya,KEN,Kenya,Women's 5000m,2000-03-05
Silver Medal,KIPYEGON Faith,Female,KEN,Kenya,KEN,Kenya,Women's 5000m,1994-01-10
Bronze Medal,HASSAN Sifan,Female,NED,Netherlands,NED,Netherlands,Women's 5000m,1993-01-01
Gold Medal,HODGKINSON Keely,Female,GBR,Great Britain,GBR,Great Britain,Women's 800m,2002-03-03
Silver Medal,DUGUMA Tsige,Female,ETH,Ethiopia,ETH,Ethiopia,Women's 800m,2001-02-23
Bronze Medal,MORAA Mary,Female,KEN,Kenya,KEN,Kenya,Women's 800m,2000-06-15
Gold Medal,ALLMAN Valarie,Female,USA,United States,USA,United States,Women's Discus Throw,1995-02-23
Silver Medal,FENG Bin,Female,CHN,China,CHN,China,Women's Discus Throw,1994-04-03
Bronze Medal,ELKASEVIC Sandra,Female,CRO,Croatia,CRO,Croatia,Women's Discus Throw,1990-06-21
Gold Medal,AXELSEN Viktor,Male,DEN,Denmark,DEN,Denmark,Men's Singles,1994-01-04
Silver Medal,VITIDSARN Kunlavut,Male,THA,Thailand,THA,Thailand,Men's Singles,2001-05-11
Bronze Medal,LEE Zii Jia,Male,MAS,Malaysia,MAS,Malaysia,Men's Singles,1998-03-29
Gold Medal,AN Se Young,Female,KOR,Korea,KOR,Korea,Women's Singles,2002-02-05
Silver Medal,HE Bing Jiao,Female,CHN,China,CHN,China,Women's Singles,1997-03-21
Gold Medal,BUTCHER Finn,Male,NZL,New Zealand,NZL,New Zealand,Men's Kayak Cross,1995-03-17
Silver Medal,CLARKE Joseph,Male,GBR,Great Britain,GBR,Great Britain,Men's Kayak Cross,1992-11-03
Bronze Medal,HEGGE Noah,Male,GER,Germany,GER,Germany,Men's Kayak Cross,1999-03-15
Gold Medal,FOX Noemie,Female,AUS,Australia,AUS,Australia,Women's Kayak Cross,1997-03-19
Silver Medal,HUG Angele,Female,FRA,France,FRA,France,Women's Kayak Cross,2000-07-30
Bronze Medal,WOODS Kimberley,Female,GBR,Great Britain,GBR,Great Britain,Women's Kayak Cross,1995-09-08
Gold Medal,LI Yuehong,Male,CHN,China,CHN,China,25m Rapid Fire Pistol Men,1989-08-28
Silver Medal,CHO Yeongjae,Male,KOR,Korea,KOR,Korea,25m Rapid Fire Pistol Men,1999-01-15
Bronze Medal,WANG Xinjie,Male,CHN,China,CHN,China,25m Rapid Fire Pistol Men,1996-10-24
Gold Medal,VAAST Kauli,Male,FRA,France,FRA,France,Men,2002-02-26
Silver Medal,ROBINSON Jack,Male,AUS,Australia,AUS,Australia,Men,1997-12-27
Bronze Medal,MEDINA Gabriel,Male,BRA,Brazil,BRA,Brazil,Men,1993-12-22
Gold Medal,MARKS Caroline,Female,USA,United States,USA,United States,Women,2002-02-14
Silver Medal,WESTON-WEBB Tatiana,Female,BRA,Brazil,BRA,Brazil,Women,1996-05-09
Bronze Medal,DEFAY Johanne,Female,FRA,France,FRA,France,Women,1993-11-19
Gold Medal,HOCKER Cole,Male,USA,United States,USA,United States,Men's 1500m,2001-06-06
Silver Medal,KERR Josh,Male,GBR,Great Britain,GBR,Great Britain,Men's 1500m,1997-10-08
Bronze Medal,NUGUSE Yared,Male,USA,United States,USA,United States,Men's 1500m,1999-06-01
Gold Medal,TENTOGLOU Miltiadis,Male,GRE,Greece,GRE,Greece,Men's Long Jump,1998-03-18
Silver Medal,PINNOCK Wayne,Male,JAM,Jamaica,JAM,Jamaica,Men's Long Jump,2000-10-24
Bronze Medal,FURLANI Mattia,Male,ITA,Italy,ITA,Italy,Men's Long Jump,2005-02-07
Gold Medal,THOMAS Gabrielle,Female,USA,United States,USA,United States,Women's 200m,1996-12-07
Silver Medal,ALFRED Julien,Female,LCA,Saint Lucia,LCA,Saint Lucia,Women's 200m,2001-06-10
Bronze Medal,BROWN Brittany,Female,USA,United States,USA,United States,Women's 200m,1995-04-18
Gold Medal,YAVI Winfred,Female,BRN,Bahrain,BRN,Bahrain,Women's 3000m Steeplechase,1999-12-31
Silver Medal,CHEMUTAI Peruth,Female,UGA,Uganda,UGA,Uganda,Women's 3000m Steeplechase,1999-07-10
Bronze Medal,CHEROTICH Faith,Female,KEN,Kenya,KEN,Kenya,Women's 3000m Steeplechase,2004-07-13
Gold Medal,ROGERS Camryn,Female,CAN,Canada,CAN,Canada,Women's Hammer Throw,1999-06-07
Silver Medal,ECHIKUNWOKE Annette Nneka,Female,USA,United States,USA,United States,Women's Hammer Throw,1996-07-29
Bronze Medal,ZHAO Jie,Female,CHN,China,CHN,China,Women's Hammer Throw,2002-10-13
Bronze Medal,JONES Omari,Male,USA,United States,USA,United States,Men's 71kg,2002-11-07
Bronze Medal,RICHARDSON Lewis,Male,GBR,Great Britain,GBR,Great Britain,Men's 71kg,1997-06-04
Bronze Medal,KYZAIBAY Nazym,Female,KAZ,Kazakhstan,KAZ,Kazakhstan,Women's 50kg,1993-09-14
Bronze Medal,VILLEGAS Aira,Female,PHI,Philippines,PHI,Philippines,Women's 50kg,1995-08-01
Gold Medal,HARRINGTON Kellie,Female,IRL,Ireland,IRL,Ireland,Women's 60kg,1989-12-11
Silver Medal,YANG Wenlu,Female,CHN,China,CHN,China,Women's 60kg,1991-01-13
Bronze Medal,SUWANNAPHENG Janjaem,Female,THA,Thailand,THA,Thailand,Women's 66kg,2000-09-25
Bronze Medal,CHEN Nien Chin,Female,TPE,Chinese Taipei,TPE,Chinese Taipei,Women's 66kg,1997-05-10
Gold Medal,QUAN Hongchan,Female,CHN,China,CHN,China,Women's 10m Platform,2007-03-28
Silver Medal,CHEN Yuxi,Female,CHN,China,CHN,China,Women's 10m Platform,2005-09-11
Bronze Medal,KIM Mi Rae,Female,PRK,DPR Korea,PRK,DPR Korea,Women's 10m Platform,2001-04-07
Gold Medal,KUKUK Christian,Male,GER,Germany,GER,Germany,Jumping Individual,1990-03-04
Silver Medal,GUERDAT Steve,Male,SUI,Switzerland,SUI,Switzerland,Jumping Individual,1982-06-10
Bronze Medal,van der VLEUTEN Maikel,Male,NED,Netherlands,NED,Netherlands,Jumping Individual,1988-02-10
Gold Medal,TREW Arisa,Female,AUS,Australia,AUS,Australia,Women's Park,2010-05-12
Silver Medal,HIRAKI Cocona,Female,JPN,Japan,JPN,Japan,Women's Park,2008-08-26
Bronze Medal,BROWN Sky,Female,GBR,Great Britain,GBR,Great Britain,Women's Park,2008-07-07
Gold Medal,LOPEZ NUNEZ Mijain,Male,CUB,Cuba,CUB,Cuba,Men's Greco-Roman 130kg,1982-08-20
Silver Medal,ACOSTA FERNANDEZ Yasmani,Male,CHI,Chile,CHI,Chile,Men's Greco-Roman 130kg,1988-07-16
Bronze Medal,MIRZAZADEH Amin,Male,IRI,IR Iran,IRI,IR Iran,Men's Greco-Roman 130kg,1998-01-08
Bronze Medal,MENG Lingzhe,Male,CHN,China,CHN,China,Men's Greco-Roman 130kg,1998-04-16
Gold Medal,FUMITA Kenichiro,Male,JPN,Japan,JPN,Japan,Men's Greco-Roman 60kg,1995-12-18
Silver Medal,CAO Liguo,Male,CHN,China,CHN,China,Men's Greco-Roman 60kg,1998-10-04
Bronze Medal,SHARSHENBEKOV Zholaman,Male,KGZ,Kyrgyzstan,KGZ,Kyrgyzstan,Men's Greco-Roman 60kg,1999-09-29
Bronze Medal,RI Se Ung,Male,PRK,DPR Korea,PRK,DPR Korea,Men's Greco-Roman 60kg,1998-12-22
Gold Medal,ELOR Amit,Female,USA,United States,USA,United States,Women's Freestyle 68kg,2004-01-01
Silver Medal,ZHUMANAZAROVA Meerim,Female,KGZ,Kyrgyzstan,KGZ,Kyrgyzstan,Women's Freestyle 68kg,1999-11-09
Bronze Medal,CAVUSOGLU TOSUN Buse,Female,TUR,Türkiye,TUR,Türkiye,Women's Freestyle 68kg,1995-12-05
Bronze Medal,OZAKI Nonoka,Female,JPN,Japan,JPN,Japan,Women's Freestyle 68kg,2003-03-23
Gold Medal,EL BAKKALI Soufiane,Male,MAR,Morocco,MAR,Morocco,Men's 3000m Steeplechase,1996-01-07
Silver Medal,ROOKS Kenneth,Male,USA,United States,USA,United States,Men's 3000m Steeplechase,1999-10-21
Bronze Medal,KIBIWOT Abraham,Male,KEN,Kenya,KEN,Kenya,Men's 3000m Steeplechase,1996-04-06
Gold Medal,HALL Quincy,Male,USA,United States,USA,United States,Men's 400m,1998-07-31
Silver Medal,HUDSON-SMITH Matthew,Male,GBR,Great Britain,GBR,Great Britain,Men's 400m,1994-10-26
Bronze Medal,SAMUKONGA Muzala,Male,ZAM,Zambia,ZAM,Zambia,Men's 400m,2002-12-09
Gold Medal,STONA Roje,Male,JAM,Jamaica,JAM,Jamaica,Men's Discus Throw,1999-02-26
Silver Medal,ALEKNA Mykolas,Male,LTU,Lithuania,LTU,Lithuania,Men's Discus Throw,2002-09-28
Bronze Medal,DENNY Matthew,Male,AUS,Australia,AUS,Australia,Men's Discus Throw,1996-06-02
Gold Medal,KENNEDY Nina,Female,AUS,Australia,AUS,Australia,Women's Pole Vault,1997-04-05
Silver Medal,MOON Katie,Female,USA,United States,USA,United States,Women's Pole Vault,1991-06-13
Bronze Medal,NEWMAN Alysha,Female,CAN,Canada,CAN,Canada,Women's Pole Vault,1994-06-29
Bronze Medal,TIAFACK Nelvie Raman,Male,GER,Germany,GER,Germany,Men's +92kg,1999-01-03
Bronze Medal,ABOUDOU MOINDZE Djamili-Dini,Male,FRA,France,FRA,France,Men's +92kg,1996-02-16
Gold Medal,ALVAREZ BORGES Erislandy,Male,CUB,Cuba,CUB,Cuba,Men's 63.5kg,2000-07-14
Silver Medal,OUMIHA Sofiane,Male,FRA,France,FRA,France,Men's 63.5kg,1994-12-23
Gold Medal,KHYZHNIAK Oleksandr,Male,UKR,Ukraine,UKR,Ukraine,Men's 80kg,1995-08-03
Silver Medal,ORALBAY Nurbek,Male,KAZ,Kazakhstan,KAZ,Kazakhstan,Men's 80kg,2000-06-11
Bronze Medal,YILDIZ KAHRAMAN Esra,Female,TUR,Türkiye,TUR,Türkiye,Women's 57kg,1997-07-04
Bronze Medal,PETECIO Nesthy,Female,PHI,Philippines,PHI,Philippines,Women's 57kg,1992-04-11
Gold Medal,WEARN Matt,Male,AUS,Australia,AUS,Australia,Men's Dinghy,1995-09-30
Silver Medal,KONTIDES Pavlos,Male,CYP,Cyprus,CYP,Cyprus,Men's Dinghy,1990-02-11
Bronze Medal,PESCHIERA Stefano,Male,PER,Peru,PER,Peru,Men's Dinghy,1995-01-16
Gold Medal,BOUWMEESTER Marit,Female,NED,Netherlands,NED,Netherlands,Women's Dinghy,1988-06-17
Silver Medal,RINDOM Anne-Marie,Female,DEN,Denmark,DEN,Denmark,Women's Dinghy,1991-06-14
Bronze Medal,HOEST Line Flem,Female,NOR,Norway,NOR,Norway,Women's Dinghy,1995-11-10
Gold Medal,PALMER Keegan,Male,AUS,Australia,AUS,Australia,Men's Park,2003-03-13
Silver Medal,SCHAAR Tom,Male,USA,United States,USA,United States,Men's Park,1999-09-14
Bronze Medal,AKIO Augusto,Male,BRA,Brazil,BRA,Brazil,Men's Park,2000-12-12
Gold Medal,MIROSLAW Aleksandra,Female,POL,Poland,POL,Poland,Women's Speed,1994-02-02
Silver Medal,DENG Lijuan,Female,CHN,China,CHN,China,Women's Speed,2000-05-12
Bronze Medal,KALUCKA Aleksandra,Female,POL,Poland,POL,Poland,Women's Speed,2001-12-25
Gold Medal,PARK Taejoon,Male,KOR,Korea,KOR,Korea,Men -58kg,2004-06-06
Silver Medal,MAGOMEDOV Gashim,Male,AZE,Azerbaijan,AZE,Azerbaijan,Men -58kg,1999-09-22
Bronze Medal,RAVET Cyrian,Male,FRA,France,FRA,France,Men -58kg,2002-09-05
Bronze Medal,JENDOUBI Mohamed Khalil,Male,TUN,Tunisia,TUN,Tunisia,Men -58kg,2002-06-01
Gold Medal,WONGPATTANAKIT Panipak,Female,THA,Thailand,THA,Thailand,Women -49kg,1997-08-08
Silver Medal,GUO Qing,Female,CHN,China,CHN,China,Women -49kg,2000-05-16
Bronze Medal,NEMATZADEH Mobina,Female,IRI,IR Iran,IRI,IR Iran,Women -49kg,2005-05-17
Bronze Medal,STOJKOVIC Lena,Female,CRO,Croatia,CRO,Croatia,Women -49kg,2002-01-03
Gold Medal,LI Fabin,Male,CHN,China,CHN,China,Men's 61kg,1993-01-15
Silver Medal,SILACHAI Theerapong,Male,THA,Thailand,THA,Thailand,Men's 61kg,2003-11-19
Bronze Medal,MORRIS Hampton,Male,USA,United States,USA,United States,Men's 61kg,2004-02-17
Gold Medal,HOU Zhihui,Female,CHN,China,CHN,China,Women's 49kg,1997-03-18
Silver Medal,CAMBEI Mihaela Valentina,Female,ROU,Romania,ROU,Romania,Women's 49kg,2002-11-18
Bronze Medal,KHAMBAO Surodchana,Female,THA,Thailand,THA,Thailand,Women's 49kg,1999-12-23
Gold Medal,KUSAKA Nao,Male,JPN,Japan,JPN,Japan,Men's Greco-Roman 77kg,2000-11-28
Silver Medal,ZHADRAYEV Demeu,Male,KAZ,Kazakhstan,KAZ,Kazakhstan,Men's Greco-Roman 77kg,1989-11-02
Bronze Medal,AMOYAN Malkhas,Male,ARM,Armenia,ARM,Armenia,Men's Greco-Roman 77kg,1999-01-22
Bronze Medal,MAKHMUDOV Akzhol,Male,KGZ,Kyrgyzstan,KGZ,Kyrgyzstan,Men's Greco-Roman 77kg,1999-04-15
Gold Medal,SARAVI Mohammadhadi,Male,IRI,IR Iran,IRI,IR Iran,Men's Greco-Roman 97kg,1998-01-06
Silver Medal,ALEKSANYAN Artur,Male,ARM,Armenia,ARM,Armenia,Men's Greco-Roman 97kg,1991-10-21
Bronze Medal,ROSILLO KINDELAN Gabriel Alejandro,Male,CUB,Cuba,CUB,Cuba,Men's Greco-Roman 97kg,1999-01-04
Bronze Medal,DZHUZUPBEKOV Uzur,Male,KGZ,Kyrgyzstan,KGZ,Kyrgyzstan,Men's Greco-Roman 97kg,1996-04-12
Gold Medal,HILDEBRANDT Sarah Ann,Female,USA,United States,USA,United States,Women's Freestyle 50kg,1993-09-23
Silver Medal,GUZMAN LOPEZ Yusneylis,Female,CUB,Cuba,CUB,Cuba,Women's Freestyle 50kg,1996-08-08
Bronze Medal,SUSAKI Yui,Female,JPN,Japan,JPN,Japan,Women's Freestyle 50kg,1999-06-30
Bronze Medal,FENG Ziqi,Female,CHN,China,CHN,China,Women's Freestyle 50kg,1999-06-29
Gold Medal,HOLLOWAY Grant,Male,USA,United States,USA,United States,Men's 110m Hurdles,1997-11-19
Silver Medal,ROBERTS Daniel,Male,USA,United States,USA,United States,Men's 110m Hurdles,1997-11-13
